Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn. I (Central West Bay),1,2013,8.260000000000002,0.0158,0.14400000000000002,0.07699999999999999,1.0,6.8,194.0,5552.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn II (East Bay),1,2013,8.24,0.0278,0.09659999999999999,0.1078,1.0,7.8,320.0,17142.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. IV (Central Bay),1,2013,7.720000000000001,0.0396,0.2988,0.1288,2.0,7.4,281.0,5222.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn V (Northern West Bay),1,2013,7.9,0.0738,0.15940000000000001,0.05700000000000001,1.0,7.0,219.0,4294.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn VIII (South Bay),1,2013,8.2,0.0278,0.09659999999999999,0.1078,1.0,7.8,208.0,20885.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XV (San Pedro),1,2013,8.16,0.0908,0.12940000000000002,0.1092,1.0,7.5,926.0,5733.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn.XVI (Sta Rosa),1,2013,8.280000000000001,0.05840000000000001,0.2988,0.11800000000000002,2.0,7.5,550.0,18190.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVII (Sanctuary),1,2013,8.22,0.06040000000000001,0.1658,0.08720000000000001,2.0,7.6,149.0,16268.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVIII (Pagsanjan),1,2013,7.94,0.047,0.18680000000000002,0.1036,2.0,8.0,296.0,24189.0,1.0,2,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. I (Central West Bay),2,2013,8.120000000000001,0.041,0.16060000000000002,0.07659999999999999,2.0,8.0,112.0,8422.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn II (East Bay),2,2013,8.139999999999999,0.0344,0.09200000000000001,0.09480000000000001,2.0,8.4,232.0,11706.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn. IV (Central Bay),2,2013,8.4,0.042800000000000005,0.1658,0.08180000000000001,2.0,7.8,181.0,2952.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn V (Northern West Bay),2,2013,7.980000000000001,0.054000000000000006,0.3014,0.12300000000000003,2.0,7.1,222.0,1429.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn VIII (South Bay),2,2013,8.16,0.0344,0.0758,0.0918,2.0,8.4,94.0,3086.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XV (San Pedro),2,2013,8.200000000000001,0.06040000000000001,0.1658,0.08719999999999999,2.0,7.6,770.0,19181.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn.XVI (Sta Rosa),2,2013,8.16,0.042800000000000005,0.1658,0.08180000000000001,2.0,7.8,365.0,18300.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVII (Sanctuary),2,2013,8.24,0.040600000000000004,0.14140000000000003,0.06160000000000001,2.0,8.2,115.0,8114.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVIII (Pagsanjan),2,2013,7.9799999999999995,0.0344,0.092,0.09480000000000001,2.0,8.8,658.0,7696.0,6.0,1,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
