Year,Month,Day,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2013,January,14,12:00 am,26ʡC,22ʡC,78ʡ%,N,20ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,1:00 am,25ʡC,21ʡC,78ʡ%,N,22ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,2:00 am,25ʡC,21ʡC,78ʡ%,NNE,20ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,3:00 am,25ʡC,21ʡC,78ʡ%,N,20ʡkm/h,41ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,4:00 am,25ʡC,20ʡC,74ʡ%,N,17ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,5:00 am,24ʡC,24ʡC,100ʡ%,N,15ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,6:00 am,24ʡC,20ʡC,78ʡ%,N,17ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,7:00 am,24ʡC,20ʡC,78ʡ%,NNE,17ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,8:00 am,25ʡC,20ʡC,74ʡ%,N,19ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,9:00 am,26ʡC,20ʡC,69ʡ%,N,22ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,January,14,10:00 am,27ʡC,29ʡC,0ʡ%,N,17ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Cloudy
2013,January,14,11:00 am,27ʡC,20ʡC,65ʡ%,NNE,11ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Cloudy
2013,January,14,12:00 pm,26ʡC,21ʡC,74ʡ%,ENE,11ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Cloudy
2013,January,14,1:00 pm,26ʡC,26ʡC,100ʡ%,SSE,7ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Cloudy
2013,January,14,2:00 pm,26ʡC,22ʡC,78ʡ%,VAR,6ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Cloudy
2013,January,14,3:00 pm,28ʡC,21ʡC,66ʡ%,VAR,7ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,January,14,4:00 pm,28ʡC,20ʡC,62ʡ%,SE,11ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,January,14,5:00 pm,28ʡC,20ʡC,62ʡ%,SE,9ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,6:00 pm,27ʡC,21ʡC,70ʡ%,ESE,13ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,January,14,7:00 pm,26ʡC,22ʡC,78ʡ%,E,11ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,January,14,8:00 pm,26ʡC,21ʡC,74ʡ%,ESE,9ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Partly Cloudy
