Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml)
Stn. I (Central West Bay),January,2013,7.68,0.0464,0.0792,0.0964,1,6.8,194,"5,552"
Stn V (Northern West Bay),January,2013,7.68,0.0824,0.0962,0.1352,1,7,219,"4,294"
Stn XV (San Pedro),January,2013,7.82,0.0678,0.0794,0.0758,1,7.5,926,"5,733"
Stn.XVI (Sta Rosa),January,2013,7.82,0.0914,0.2466,0.1208,2,7.5,550,"18,190"
Stn. I (Central West Bay),Febuary,2013,7.78,0.085,0.2462,0.0804,2,8,112,"8,422"
Stn V (Northern West Bay),Febuary,2013,7.68,0.091,0.2654,0.1244,2,7.1,222,"1,429"
Stn XV (San Pedro),Febuary,2013,7.78,0.0914,0.2466,0.1208,2,7.6,770,"19,181"
Stn.XVI (Sta Rosa),Febuary,2013,7.78,0.0914,0.2466,0.1208,2,7.8,365,"18,300"
Stn. I (Central West Bay),March,2013,7.82,0.0678,0.0794,0.0758,1,7.5,147,"20,927"
Stn V (Northern West Bay),March,2013,7.82,0.083,0.0864,0.103,1,7.4,220,"21,154"
Stn XV (San Pedro),March,2013,7.78,0.0678,0.096,0.0554,1,7.6,845,"9,422"
Stn.XVI (Sta Rosa),March,2013,7.78,0.0914,0.2466,0.1208,2,7.6,365,"6,128"
Stn. I (Central West Bay),April,2013,7.78,0.085,0.2462,0.0804,2,8.1,52,"6,079"
Stn V (Northern West Bay),April,2013,7.68,0.091,0.2654,0.1244,2,7,61,"9,997"
Stn XV (San Pedro),April,2013,7.82,0.0914,0.2466,0.1208,2,7.5,340,"29,826"
Stn.XVI (Sta Rosa),April,2013,7.9,0.085,0.2462,0.0804,2,8.2,210,"13,476"
Stn. I (Central West Bay),May,2013,7.68,0.0914,0.2466,0.1208,2,7.3,46,"63,351"
Stn V (Northern West Bay),May,2013,7.68,0.091,0.2654,0.1244,2,7,254,"155,543"
Stn XV (San Pedro),May,2013,7.78,0.0844,0.2924,0.1468,3,7.8,150,"13,945"
Stn.XVI (Sta Rosa),May,2013,7.78,0.0844,0.2924,0.1468,3,7.8,173,"50,398"
Stn. I (Central West Bay),June,2013,7.94,0.0742,0.1406,0.0802,2,9.6,11,"23,653"
Stn V (Northern West Bay),June,2013,8.14,0.042,0.1554,0.0762,4,11.1,83,"4,832"
Stn XV (San Pedro),June,2013,7.9,0.0844,0.2924,0.1468,4,8.8,112,"2,827"
Stn.XVI (Sta Rosa),June,2013,8.14,0.0742,0.1406,0.0802,3,11,40,"8,327"
Stn. I (Central West Bay),July,2013,7.9,0.0844,0.2924,0.1468,3,8.4,13,"180,839"
Stn V (Northern West Bay),July,2013,7.76,0.0832,0.08,0.1382,2,6.2,107,"34,779"
Stn XV (San Pedro),July,2013,7.76,0.0834,0.232,0.1618,2,6.2,66,"16,574"
Stn.XVI (Sta Rosa),July,2013,7.68,0.0914,0.2466,0.1208,2,7.2,29,"17,226"
Stn. I (Central West Bay),August,2013,7.68,0.091,0.2654,0.1244,2,7,26,"33,640"
Stn V (Northern West Bay),August,2013,7.66,0.0844,0.2924,0.1468,5,6.6,74,"10,804"
Stn XV (San Pedro),August,2013,7.68,0.091,0.2654,0.1244,3,7.1,46,"16,574"
Stn.XVI (Sta Rosa),August,2013,7.68,0.091,0.2654,0.1244,3,7,71,"7,226"
Stn. I (Central West Bay),September,2013,7.78,0.0932,0.262,0.0952,2,8,84,"48,273"
Stn V (Northern West Bay),September,2013,7.88,0.0792,0.0994,0.1392,2,5.5,280,"6,635"
Stn XV (San Pedro),September,2013,7.66,0.0464,0.0792,0.0964,1,6.5,45,"27,126"
Stn.XVI (Sta Rosa),September,2013,7.78,0.0914,0.2466,0.1208,2,7.6,114,"77,778"
Stn. I (Central West Bay),October,2013,7.9,0.079,0.1006,0.0702,2,8.6,186,"37,646"
Stn V (Northern West Bay),October,2013,7.76,0.0882,0.2498,0.1248,4,6.2,492,"98,174"
Stn XV (San Pedro),October,2013,7.9,0.0446,0.2816,0.0958,3,8.6,77,"16,557"
Stn.XVI (Sta Rosa),October,2013,7.82,0.0914,0.2466,0.1208,3,7.5,397,"31,325"
